sted_raa,antall,kanonisk_sted,amt_lan,land
n sverige,1,Sverige (uspesifisert),,Sverige
nestved danmark,1,Danmark,,Danmark
neubrandenburg mechlenburg,1,Det tyske keiserrike,,Det tyske keiserrike
st petersburg,1,Det russiske keiserdømmet,,Det russiske keiserdømmet
preusen,1,Preusen,,Det tyske keiserrike
rye sogn,1,Danmark,,Danmark
sarlat frankrig,1,Frankrike,,Frankrike
sibirien,1,Sibir,,Det russiske keiserdømmet
skive danmark,1,Danmark,,Danmark
stendal,1,Stendal,,Det tyske keiserrike
sveirge,1,Sverige (uspesifisert),,Sverige
svensk!!,1,Sverige (uspesifisert),,Sverige
sverg,1,Sverige (uspesifisert),,Sverige
sverie,1,Sverige (uspesifisert),,Sverige
sverige t,1,Sverige (uspesifisert),,Sverige
søkendal,1,Søkendal,,Ukjent
sørø,1,Sørø,,Danmark
t sverge,1,Sverige (uspesifisert),,Sverige
t sverige,1,Sverige (uspesifisert),,Sverige
tofteberg,1,Tofteberg,,Ukjent
tydskland,1,Tyskland,,Det tyske keiserrike
v,1,Ukjent,,Ukjent
vasa finland,1,Finland,,Finland
wederlaz finland,1,Finland,,Finland
wurtenberg,1,Det tyske keiserrike,,Det tyske keiserrike
x a,1,Ukjent,,Ukjent
østeberg,1,Østeberg,,Ukjent
aabo finland,1,Finland,,Finland
aalborg,1,Danmark,,Danmark
